,1,2,3,4,5,6,7
1,0.07,0.0,0.58,0.34,0.01,0.0,0.0
2,0.0,0.5,0.0,0.0,0.0,0.5,0.0
3,0.27,0.0,0.33,0.35,0.0,0.04,0.01
4,0.37,0.01,0.29,0.31,0.01,0.01,0.01
5,0.0,0.0,0.5,0.0,0.0,0.5,0.0
6,0.3,0.0,0.4,0.1,0.0,0.2,0.0
7,0.33,0.0,0.33,0.33,0.0,0.0,0.0
